time,depth,temperature,salinity,SA,CT,STH_pred,rho_pred,N2
2013-10-16,165.72845,11.86807632446289,35.12656021118164,35.29348158,11.83301106,26.72051019,27.46362909000004,3.358508862445498e-05
2013-10-16,184.69746,11.334599494934082,35.08125305175781,35.24809733,11.29888445,26.78552871,27.6156709899999,2.13408384197203e-05
2013-10-16,207.42545,10.881356239318848,35.03763961791992,35.20442878,10.844466,26.83461591,27.76877719999993,1.3563725558100324e-05
2013-10-16,235.38617,10.482497215270996,34.99462890625,35.16134131,10.4437963,26.87255266,27.934466980000025,1.2248116147475666e-05
2013-10-16,270.53412,10.020755767822266,34.945926666259766,35.11256949,9.97977562,26.91521755,28.138137890000053,1.2320798424812853e-05
2013-10-16,315.37408,9.416862487792969,34.88461685180664,35.05118407,9.37328911,26.96930854,28.398722489999955,1.012463930518965e-05
2013-10-16,372.96545,8.682284355163574,34.8037223815918,34.97021531,8.63578318,27.02475401,28.720767819999992,9.454165721670852e-06
2013-10-16,446.80093,7.723074913024902,34.699302673339844,34.86565352,7.6736578,27.08878028,29.12954807000005,8.604517223297426e-06
2013-10-16,540.5022,6.600071430206299,34.58936309814453,34.75559742,6.547475,27.15993839,29.64169908999997,6.872498837739574e-06
2013-10-16,657.32294,5.593899726867676,34.513206481933594,34.67960023,5.53632026,27.22914401,30.261059570000043,6.619104118375004e-06
2013-10-16,799.5496,4.694291114807129,34.483306884765625,34.65010302,4.62985565,27.31133818,31.013340870000093,6.986217079935152e-06
2013-10-16,967.99585,4.1824870109558105,34.55381774902344,34.72114427,4.10647764,27.42394087,31.911811429999943,
2013-11-16,5.0215898,24.44302749633789,35.90884780883789,36.07843302,24.40736161,24.199362,24.220823870000004,2.098928753345699e-05
2013-11-16,15.07854,24.27979278564453,35.87240982055664,36.04183954,24.24322229,24.22152658,24.2860023799999,-1.630401304593069e-05
2013-11-16,25.16046,24.382455825805664,35.88948440551758,36.05901255,24.34313931,24.20427631,24.31181607999997,2.7487976348445803e-06
2013-11-16,35.27829,24.44344520568848,35.91676330566406,36.08644173,24.40096424,24.20722907,24.357966869999927,-3.7288136232544273e-06
2013-11-16,45.44776,24.63752555847168,35.98821258544922,36.15827985,24.59024534,24.20336386,24.39740002999997,0.00015904534284387107
2013-11-16,55.691494,24.081432342529297,35.99226379394531,36.16239782,24.03170824,24.37427457,24.612442939999937,0.00029343397514717905
2013-11-16,66.041985,22.98885154724121,35.987632751464844,36.15776955,22.93715118,24.692677,24.97608983000009,0.00034268426973859865
2013-11-16,76.54591,21.55910301208496,35.94880294799805,36.11879006,21.50698828,25.06964516,25.39970945999994,0.0003630393559488909
2013-11-16,87.27029,19.705352783203125,35.82467269897461,35.99419489,19.65610011,25.47661272,25.85543032999999,0.00032901128491775837
2013-11-16,98.31118,17.703052520751953,35.65520477294922,35.8240501,17.65827151,25.8554142,26.285438789999944,0.0002592058691357202
2013-11-16,109.806175,15.966064453125,35.52225875854492,35.69058488,15.92456398,26.16548074,26.64915029999997,0.00023059362056145828
2013-11-16,121.9519,14.478717803955078,35.47077178955078,35.63896579,14.43829461,26.45680032,26.99728137000011,0.00010283748532876815
2013-11-16,135.02855,13.30697536468506,35.33141326904297,35.49906396,13.26948645,26.59520937,27.19674110000005,5.2815840293692546e-05
2013-11-16,149.43373,12.543166160583496,35.23380661010742,35.4011223,12.50694997,26.67297695,27.34096281999996,3.304167130224545e-05
