time,depth,temperature,salinity
2000-04-16,446.80093,7.695681095123291,34.71781539916992
2000-04-16,540.5022,6.539591312408447,34.612937927246094
2000-04-16,657.32294,5.532149791717529,34.52726364135742
2000-04-16,799.5496,4.5841193199157715,34.50133514404297
2000-04-16,967.99585,4.174686431884766,34.58712387084961
2000-05-16,5.0215898,27.978166580200195,35.31075668334961
2000-05-16,15.07854,27.972705841064453,35.2516975402832
2000-05-16,25.16046,28.199342727661133,35.329551696777344
2000-05-16,35.27829,27.887479782104492,35.31611633300781
2000-05-16,45.44776,28.20595359802246,35.58538055419922
2000-05-16,55.691494,28.55186653137207,35.68096923828125
2000-05-16,66.041985,25.170217514038086,35.7151985168457
2000-05-16,76.54591,21.21486473083496,35.70479965209961
2000-05-16,87.27029,18.765277862548828,35.58362579345703
